('雪佛兰 迈锐宝 2013款 2.0L 自动豪华版', 'https://image1.guazistatic.com/qn1807111850339a12512f5bbb6fc9ec1bc02f30640aaf.jpg', '2013年', '9.00万', '19.70万')
('雪佛兰科帕奇 2015款 2.4L 两驱城市版 7座', 'https://image.guazistatic.com/gz01180511/20/56/71ec2eaddc4e73d734c79ee461ddecae.jpg', '8.4万公里', '11.00万', '20.30万')
('雪佛兰迈锐宝 2014款 2.0L 自动豪华版', 'https://image1.guazistatic.com/qn171116162939aeeaef6d0a155c60f0562a10902c512c.jpg', '16.4万公里', '9.80万', '20.30万')
('雪佛兰 科鲁兹 2015款 1.5L 经典 SL MT', 'https://image1.guazistatic.com/qn18060402070245f80b98d892635683fda1eca612b9ea.jpg', '2016年', '5.98万', '9.80万')
('雪佛兰 科鲁兹 2016款 1.5L 自动豪华版', 'https://image1.guazistatic.com/qn180608141033686b5862164c3070de32c0c9a35d47ad.jpg', '1.6万公里', '7.80万', '15.00万')
('雪佛兰 爱唯欧 2011款 三厢 1.4L AT SE', 'https://image.guazistatic.com/gz01180602/14/29/f9ab249e89284e9ae9a8d165f5cae2f5.jpg', '2014年', '3.20万', '11.10万')
('雪佛兰科鲁兹 2015款 1.5L 经典 SE AT', 'https://image1.guazistatic.com/qn180506220704d6f7faf1ae52719809ff67e475f93caf.jpg', '5.0万公里', '7.20万', '11.90万')
('雪佛兰迈锐宝 2014款 2.0L 自动舒适版', 'https://image1.guazistatic.com/qn1804221056334f67e0b9028e9f408cff042f14f3ccb5.jpg', '2016年', '11.20万', '18.40万')
('雪佛兰 科鲁兹 2012款 1.6L SE AT', 'https://image.guazistatic.com/gz01180613/18/17/026a1e3bde1a284612954235687b7318.jpg', '5.1万公里', '6.00万', '14.60万')
('雪佛兰 赛欧 2010款 三厢 1.2L AMT理想版', 'https://image.guazistatic.com/gz01180602/16/55/dda206328b84a3d76a4d6d3b30f96912.jpg', '2015年', '2.80万', '7.30万')
('雪佛兰赛欧 2015款 赛欧3 1.3L AMT理想版', 'https://image1.guazistatic.com/qn18051821233844fddbe66cc75bff3c5abac9ed98cd0f.jpg', '5.1万公里', '4.80万', '7.50万')
('雪佛兰科鲁兹 2010款 1.6L SL天地版 MT', 'https://image1.guazistatic.com/qn1805041214259ffa3a4024fb663ca20b6f490314459e.jpg', '2014年', '3.60万', '12.40万')
('雪佛兰 科鲁兹 2011款 1.6L SE MT 变形金刚版', 'https://image1.guazistatic.com/qn1805300040083960f79b951ccb8afff5a14c1d3691aa.jpg', '4.6万公里', '3.35万', '13.40万')
('雪佛兰乐风 2010款 1.4MT风度版', 'https://image1.guazistatic.com/qn1804222012404a944d72b1cd36aa088bfc8598e3ec66.jpg', '2014年', '1.80万', '8.90万')
('雪佛兰景程 2010款 1.8 舒适版 AT', 'https://image1.guazistatic.com/qn180517160056595f5b51636a37b8bfe026043f959998.jpg', '6.1万公里', '3.00万', '15.20万')
('雪佛兰科帕奇 2014款 2.4L 两驱城市版 5座', 'https://image1.guazistatic.com/qn1804111043387ae440b5550f1ec5790508ca4c486968.jpg', '2015年', '10.00万', '19.50万')
('雪佛兰科鲁兹 2009款 1.6L SE AT', 'https://image1.guazistatic.com/qn180307040934528518f5a5c3501e019de14779aab663.jpg', '3.9万公里', '5.80万', '14.40万')
('雪佛兰科鲁兹 2015款 1.5L 经典 SE AT', 'https://image1.guazistatic.com/qn1801212112232be27e9d15af3fb6bcb632098fa45b17.jpg', '2012年', '7.28万', '11.90万')
('雪佛兰迈锐宝 2014款 2.0L 自动豪华版', 'https://image1.guazistatic.com/qn180323164134c63d540fd3518b6fa9f910da1bfdc524.jpg', '10.1万公里', '9.80万', '20.30万')
('雪佛兰创酷 2014款 1.4T 自动两驱舒适型', 'https://image1.guazistatic.com/qn1803021335508321fd6eef5affa86fd3650438141369.jpg', '2016年', '7.68万', '13.20万')
('雪佛兰科鲁兹 2013款 1.6L SL MT', 'https://image.guazistatic.com/gz01180331/11/14/29e254c7acf6177237b50512d29220e1.jpg', '1.6万公里', '5.00万', '11.80万')
('雪佛兰探界者 2017款 550T 自动四驱拓界版', 'https://image.guazistatic.com/gz01180409/14/11/78940f98194f14b1a6ba48c920c7e13f.jpg', '2017年', '17.00万', '25.00万')
('雪佛兰科沃兹 2016款 1.5L 自动欣悦版', 'https://image1.guazistatic.com/qn180226023057af1f8a573db4df2cfde72e87b67e108f.jpg', '1.4万公里', '7.00万', '10.80万')
('雪佛兰科鲁兹 2013款 掀背 1.6T 自动旗舰型', 'https://image1.guazistatic.com/qn1712271117402870d89d2eb61ff434470f7f9e4046d9.jpg', '2017年', '7.30万', '16.30万')
('雪佛兰科帕奇 2014款 2.4L 四驱旗舰版 7座', 'https://image1.guazistatic.com/qn1705311650126739f50a32ffb8278af71891f06e3410.jpg', '2.6万公里', '13.00万', '22.80万')
('雪佛兰创酷 2014款 1.4T 自动两驱豪华型', 'https://image1.guazistatic.com/qn18011018473274b940c4f0cabcaf499e77b4ce997f09.jpg', '2014年', '8.70万', '14.50万')
('雪佛兰科鲁兹 2013款 1.8L SE AT', 'https://image1.guazistatic.com/qn1704121236488b4e343a182c78a8c4970e894062c933.jpg', '7.4万公里', '7.50万', '14.90万')
('雪佛兰科鲁兹 2013款 1.6L SL MT', 'https://image1.guazistatic.com/qn171111171903d5b0c132e7195349223aefce4f518337.jpg', '2014年', '5.10万', '11.80万')
('雪佛兰赛欧 2013款 三厢 1.4L 手动理想幸福版', 'https://image1.guazistatic.com/qn170515083744f19556be33a7dc798e69a095351e42af.jpg', '7.4万公里', '3.60万', '7.20万')
